,STATION,ENTRIES
264,KINGSTON AV,14796634
75,5 AV/53 ST,14635861
322,PRINCE ST,14483617
177,CATHEDRAL PKWY,14351563
200,DELANCEY/ESSEX,14293071
71,46 ST BLISS ST,14153113
186,CLARK ST,14073560
259,JUNCTION BLVD,14062046
205,E 180 ST,14031676
337,SHEEPSHEAD BAY,13859802
202,DYCKMAN ST,13614382
296,NEW LOTS AV,13419510
155,BLEECKER ST,13277425
95,7 AV,13200206
307,NOSTRAND AV,13121442
368,WESTCHESTER SQ,12945006
56,30 AV,12766934
65,4 AV-9 ST,12629993
373,WOODHAVEN BLVD,12599265
89,63 DR-REGO PARK,12598732
160,BRIARWOOD,12511657
113,9 AV,12180016
346,STERLING ST,12115814
357,UNION ST,11937899
51,25 ST,11837228
152,BERGEN ST,11728253
242,HOUSTON ST,11708512
124,ASTORIA DITMARS,11656062
92,67 AV,11644502
222,FRANKLIN ST,11573573
229,GRAND ARMY PLAZ,11314026
314,PARSONS BLVD,10469374
327,RALPH AV,10412287
96,71 ST,10037204
94,69 ST,9949589
90,65 ST,9935641
206,EAST 105 ST,9836635
176,CASTLE HILL AV,9764811
275,LORIMER ST,9630758
129,AVENUE J,9553564
19,155 ST,9446723
22,163 ST-AMSTERDM,9419350
350,SUTTER AV-RUTLD,9260939
80,52 ST,9219778
267,KOSCIUSZKO ST,9172941
99,74 ST-BROADWAY,9069498
212,EUCLID AV,9061411
49,238 ST,9033003
374,WOODLAWN,9030838
248,INTERVALE AV,8994016
132,AVENUE P,8972439
167,BROOK AV,8888320
293,NEREID AV,8757478
238,HARLEM 148 ST,8686875
290,NASSAU AV,8685212
108,82 ST-JACKSON H,8674027
371,WILSON AV,8469086
109,85 ST-FOREST PK,8462177
338,SHEPHERD AV,8384111
53,3 AV,8270779
39,20 AV,8236337
255,JEFFERSON ST,8222542
136,BAY 50 ST,8221083
30,176 ST,8050211
340,SMITH-9 ST,7983668
83,57 ST,7881892
334,ROOSEVELT ISLND,7867156
304,NORTHERN BLVD,7858654
244,HOYT ST,7827574
365,WAKEFIELD/241,7709045
25,169 ST,7629275
306,NORWOOD AV,7544174
82,55 ST,7507696
360,VAN SICLEN AV,7489551
272,LIBERTY AV,7434500
310,OZONE PK LEFFRT,7337627
158,BOWERY,7141476
361,VAN SICLEN AVE,7045098
273,LIVONIA AV,6981812
191,CORTELYOU RD,6924309
219,FOREST AVE,6818824
311,PARK PLACE,6752017
170,BURKE AV,6671133
253,JAMAICA VAN WK,6583627
284,MORRIS PARK,6523574
210,ELDER AV,6499741
331,ROCKAWAY AV,6497686
195,CRESCENT ST,6488955
225,FT HAMILTON PKY,6437962
227,GATES AV,6404636
321,PRESIDENT ST,6294325
70,46 ST,6223244
69,45 ST,6106859
234,GREENPOINT AV,6090798
163,BROAD ST,6068437
122,ASTOR PL,6058856
118,ALABAMA AV,6010483
260,JUNIUS ST,5949776
286,MT EDEN AV,5944180
308,OCEAN PKWY,5898613
204,E 149 ST,5834588
153,BEVERLEY ROAD,5829242
188,CLEVELAND ST,5739020
297,NEW UTRECHT AV,5684931
265,KINGSTON-THROOP,5677833
292,NEPTUNE AV,5641778
146,BEACH 67 ST,5634057
157,BOTANIC GARDEN,5479953
276,MARBLE HILL-225,5415187
50,25 AV,5384692
370,WHITLOCK AV,5343579
288,MYRTLE-WILLOUGH,5339433
150,BEDFORD PK BLVD,5322301
60,34 ST-HUDSON YD,5239440
280,MIDDLETOWN RD,5003988
198,CYPRESS HILLS,4990657
266,KNICKERBOCKER,4872649
112,88 ST,4721818
28,174-175 STS,4717462
64,39 AV,4556844
172,BUSHWICK AV,4478622
101,75 ST-ELDERTS,4474547
43,215 ST,4461473
364,W 8 ST-AQUARIUM,4420679
320,PENNSYLVANIA AV,4341207
20,157 ST,4332970
201,DITMAS AV,4311045
128,AVENUE I,4153274
294,NEVINS ST,4060038
330,RIT-ROOSEVELT,3861285
41,21 ST,3603633
147,BEACH 90 ST,3391586
169,BUHRE AV,3301612
116,96 ST-2 AVE,3261994
134,AVENUE X,3235409
178,CENTRAL AV,3071745
282,MORGAN AV,2933782
203,E 143/ST MARY'S,2879176
214,FAR ROCKAWAY,2823148
336,SENECA AVE,2669012
349,SUTTER AV,2665499
243,HOWARD BCH JFK,2578475
142,BEACH 25 ST,2455648
120,AQUEDUCT N.COND,2453199
194,COURT SQ-23 ST,2442936
126,ATLANTIC AV,1958966
148,BEACH 98 ST,1936443
144,BEACH 44 ST,1388010
143,BEACH 36 ST,1354766
378,ZEREGA AV,1306877
162,BROAD CHANNEL,1116291
329,RIT-MANHATTAN,1109481
258,JOURNAL SQUARE,1072962
181,CHAUNCEY ST,975854
235,GROVE STREET,924231
256,JFK JAMAICA CT1,870264
184,CITY / BUS,808019
351,THIRTY ST,799156
298,NEWARK BM BW,690414
352,THIRTY THIRD ST,689071
354,TOMPKINSVILLE,686852
315,PATH NEW WTC,603338
356,TWENTY THIRD ST,560260
213,EXCHANGE PLACE,542258
309,ORCHARD BEACH,402036
17,14TH STREET,339602
268,LACKAWANNA,296794
239,HARRISON,284810
299,NEWARK C,244867
317,PAVONIA/NEWPORT,220783
301,NEWARK HW BMEBE,199434
117,9TH STREET,197261
316,PATH WTC 2,87182
300,NEWARK HM HE,36987
