,Start Date/Time
2021-09-25,1299
2021-09-26,1071
2021-09-23,860
2021-09-24,808
2021-09-27,748
2021-09-20,24
2021-09-22,10
2021-09-19,6
2021-09-07,6
2021-09-06,5
2021-09-17,4
2021-09-21,4
2021-08-27,4
2021-08-26,4
2021-09-14,3
2021-09-16,3
2021-09-18,2
2021-09-15,2
2021-09-09,2
2021-07-21,2
2021-09-01,2
2021-08-31,2
2021-08-29,2
2021-09-12,1
2021-09-10,1
2021-09-04,1
2021-09-03,1
2021-09-02,1
2021-08-28,1
2021-08-24,1
2021-08-17,1
2021-08-06,1
2021-07-03,1
